,CommentCount,DownVotes,Outlier,Reputation,Score,UpVotes,ViewCount,postId,userId
0,0,1920,UpVotes,1,0,5007,0,2175,-1
1,0,1920,UpVotes,1,0,5007,0,8576,-1
2,0,1920,UpVotes,1,0,5007,0,8578,-1
3,0,1920,UpVotes,1,0,5007,0,8981,-1
4,0,1920,UpVotes,1,0,5007,0,8982,-1
5,0,1920,UpVotes,1,0,5007,0,9857,-1
6,0,1920,UpVotes,1,0,5007,0,9858,-1
7,0,1920,UpVotes,1,0,5007,0,9860,-1
8,0,1920,UpVotes,1,0,5007,0,10130,-1
9,0,1920,UpVotes,1,0,5007,0,10131,-1
10,0,1920,UpVotes,1,0,5007,0,15331,-1
11,0,1920,UpVotes,1,0,5007,0,15332,-1
12,0,1920,UpVotes,1,0,5007,0,16296,-1
13,0,1920,UpVotes,1,0,5007,0,16366,-1
14,0,1920,UpVotes,1,0,5007,0,19423,-1
15,0,1920,UpVotes,1,0,5007,0,19848,-1
16,0,1920,UpVotes,1,0,5007,0,20259,-1
17,0,1920,UpVotes,1,0,5007,0,20261,-1
18,0,1920,UpVotes,1,0,5007,0,20262,-1
19,0,1920,UpVotes,1,0,5007,0,20263,-1
20,0,1920,UpVotes,1,0,5007,0,20264,-1
21,0,1920,UpVotes,1,0,5007,0,20485,-1
22,0,1920,UpVotes,1,0,5007,0,20487,-1
23,0,1920,UpVotes,1,0,5007,0,20489,-1
24,0,1920,UpVotes,1,0,5007,0,20490,-1
25,0,1920,UpVotes,1,0,5007,0,21497,-1
26,0,1920,UpVotes,1,0,5007,0,21795,-1
27,0,1920,UpVotes,1,0,5007,0,21856,-1
28,0,1920,UpVotes,1,0,5007,0,21860,-1
29,0,1920,UpVotes,1,0,5007,0,21861,-1
30,0,1920,UpVotes,1,0,5007,0,21862,-1
31,0,1920,UpVotes,1,0,5007,0,21864,-1
32,0,1920,UpVotes,1,0,5007,0,21876,-1
33,0,1920,UpVotes,1,0,5007,0,21878,-1
34,0,1920,UpVotes,1,0,5007,0,21882,-1
35,0,1920,UpVotes,1,0,5007,0,23847,-1
36,0,1920,UpVotes,1,0,5007,0,27148,-1
37,0,1920,UpVotes,1,0,5007,0,28215,-1
38,0,1920,UpVotes,1,0,5007,0,28223,-1
39,0,1920,UpVotes,1,0,5007,0,28240,-1
40,0,1920,UpVotes,1,0,5007,0,28260,-1
41,0,1920,UpVotes,1,0,5007,0,28263,-1
42,0,1920,UpVotes,1,0,5007,0,28267,-1
